,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
5,58,58,127,50,-512.451,-515.215,-514.844,-516.046,-518.032,-519.032,-466.624,-454.957,-505.55,12.136,11.83,12.595,12.136,11.983,11.983,11.983,12.136,11.983,12.136,12.136,11.983,12.289,11.983,11.83,11.524,11.983,11.83,11.83,11.983,12.136,12.289,11.83,12.136,12.136,11.983,12.289,11.983,11.983,11.83,11.677,12.136,12.289,12.136,11.677,11.983,11.983,11.371,11.983,12.442,11.983,12.136,11.83,11.983,12.136,11.677,12.442,12.289,11.983,12.289,11.983,11.677,11.983,12.136,11.983,12.136,12.289,12.136,11.83,11.83,12.289,11.83,11.677,12.136,11.983,
6,58,58,126,50,-512.767,-515.945,-515.462,-515.78,-519.26,-518.777,-469.23,-457.932,-505.334,13.518,13.518,13.518,13.365,13.671,13.671,13.518,13.671,13.365,13.365,13.365,13.518,13.365,13.518,13.365,13.671,13.365,13.518,13.365,13.365,13.518,13.365,13.671,13.365,13.365,13.518,13.518,13.518,13.365,13.518,13.518,13.365,13.365,13.365,13.518,13.365,13.365,13.518,13.518,13.518,13.518,13.518,13.518,13.671,13.518,13.518,13.212,13.518,13.365,13.518,13.365,13.518,13.518,13.671,13.518,13.671,13.365,13.518,13.365,13.518,13.518,13.518,13.365,13.365,13.518,
7,58,58,125,50,-513.285,-516.395,-515.537,-516.521,-517.176,-517.56,-469.508,-458.303,-506.368,13.555,13.249,13.707,13.402,13.707,13.86,13.86,13.707,13.555,13.402,13.707,13.707,13.86,13.86,13.249,13.249,13.402,13.402,13.249,13.402,13.86,13.555,13.402,13.402,13.707,13.555,13.86,13.86,13.402,13.402,13.249,13.86,13.86,13.402,13.402,13.402,13.86,13.402,13.402,13.86,13.402,13.86,13.402,13.707,13.86,13.402,13.86,14.013,13.402,13.707,13.402,13.707,13.555,13.707,13.402,13.86,13.86,13.402,13.402,13.402,13.86,13.402,13.402,13.555,13.402,
8,58,58,124,50,-510.641,-513.306,-522.3,-523.29,-532.428,-523.235,-467.158,-452.179,-504.094,7.595,7.749,8.055,7.749,8.055,7.595,8.055,7.749,7.595,8.055,7.442,7.442,7.289,7.749,7.442,8.055,7.595,7.749,8.055,7.442,7.442,7.595,7.902,7.902,7.289,8.055,7.442,7.595,7.595,7.442,7.442,7.749,7.749,8.055,7.442,7.749,7.595,7.442,7.902,8.055,7.595,7.595,7.749,7.749,7.595,7.902,7.902,7.442,7.442,7.595,8.055,7.902,7.749,8.055,7.749,7.595,7.902,7.595,7.595,7.749,7.749,7.749,8.055,8.055,7.902,
9,58,58,123,50,-518.587,-526.831,-524.471,-520.219,-516.912,-515.094,-472.64,-459.835,-509.466,9.229,9.382,9.841,9.229,9.688,9.382,9.688,9.382,9.535,9.688,9.229,9.382,9.076,9.535,9.382,9.688,9.382,9.382,9.841,9.076,9.229,9.382,9.535,9.688,9.076,9.688,9.076,9.535,9.535,9.076,9.229,9.229,9.382,9.535,9.229,9.535,9.382,8.923,9.535,9.535,9.382,9.535,9.535,9.382,9.229,9.688,9.535,9.076,9.229,9.382,9.688,9.688,9.382,9.841,9.535,9.382,9.535,9.382,9.229,9.382,9.382,9.382,9.688,9.688,9.229,
10,58,58,122,50,-518.219,-516.681,-518.064,-517.915,-521.968,-515.436,-473.631,-457.285,-509.608,12.562,13.021,12.562,12.715,12.715,12.562,12.715,12.409,12.409,12.409,12.715,12.562,12.715,12.715,12.562,12.715,12.868,12.562,12.562,12.562,12.562,12.562,12.715,12.868,12.715,12.562,12.562,12.715,12.562,12.715,12.562,12.715,12.562,12.562,12.715,12.562,12.715,12.562,12.715,12.562,12.715,12.715,12.715,12.562,12.715,12.715,12.715,12.868,12.715,12.562,12.715,12.715,12.562,12.562,12.868,12.562,12.715,12.562,12.715,12.562,12.715,12.715,12.715,12.409,12.715,
11,58,58,121,50,-516.525,-521.395,-517.579,-515.643,-521.232,-515.004,-469.594,-456.217,-508.283,12.568,12.873,13.179,12.72,13.026,12.568,13.179,12.568,12.568,13.026,12.873,12.415,12.568,13.179,12.568,13.179,12.873,12.568,12.873,12.568,12.568,12.568,13.026,13.179,12.262,13.026,12.568,12.72,12.568,12.873,12.568,12.873,12.568,13.026,12.568,12.568,12.72,12.568,13.026,13.026,12.873,12.568,13.179,12.568,12.568,13.332,13.179,12.72,12.568,12.568,13.179,13.179,12.568,13.179,13.026,12.568,13.179,12.568,12.873,12.415,13.179,13.026,13.332,13.026,13.026,
12,58,58,120,50,-512.602,-515.741,-514.956,-515.22,-518.315,-518.48,-466.53,-455.117,-504.438,12.638,13.096,12.791,13.096,12.791,12.485,12.638,13.096,12.638,13.096,12.638,12.485,12.638,12.638,12.791,13.096,13.096,13.096,12.943,12.638,12.638,12.791,13.096,12.943,12.485,13.096,12.485,12.638,13.096,13.096,12.943,12.638,12.791,12.943,12.943,12.943,12.485,12.638,13.249,12.638,13.096,12.638,13.096,12.943,12.791,13.096,12.638,12.791,12.943,12.638,12.791,12.791,12.638,12.791,13.096,12.638,12.791,13.096,12.943,12.943,12.638,13.096,12.943,12.638,13.096,
13,58,58,119,50,-511.942,-514.514,-514.009,-514.757,-516.796,-518.062,-465.729,-453.904,-504.596,12.598,12.751,12.598,12.751,12.598,12.598,12.598,12.751,12.598,12.904,12.598,12.598,12.751,12.598,12.598,12.904,12.904,12.904,12.751,12.751,12.598,12.904,12.751,12.751,12.598,12.751,12.445,12.598,12.751,12.751,12.751,12.598,12.598,12.598,12.751,12.904,12.598,12.598,12.751,12.598,12.904,12.598,12.904,12.751,12.598,12.904,12.598,12.598,12.751,12.445,12.751,12.598,12.598,12.751,12.904,12.598,12.598,12.751,12.751,12.751,12.445,12.751,12.904,12.598,12.904,
14,58,58,118,50,-511.742,-514.745,-514.101,-514.602,-517.481,-515.447,-465.207,-453.59,-504.634,11.912,12.371,12.065,12.524,12.218,12.065,12.218,12.524,12.065,12.677,12.218,11.912,12.065,12.065,12.218,12.524,12.524,12.524,12.218,12.218,12.218,12.371,12.524,12.371,12.065,12.524,12.065,12.065,12.218,12.371,12.524,12.065,12.218,12.371,12.218,12.371,11.912,12.065,12.371,12.065,12.677,12.065,12.524,12.218,12.218,12.524,12.065,12.371,12.371,12.065,12.218,12.218,12.065,12.371,12.524,12.065,12.218,12.524,12.371,12.371,12.065,12.524,12.524,12.065,12.677,
