,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
428,58,58,120,76,-512.602,-515.588,-514.804,-515.22,-517.244,-515.877,-466.072,-455.117,-505.202,15.997,16.15,15.692,15.844,15.844,15.692,16.15,15.997,15.997,16.15,15.539,15.539,15.539,15.234,15.386,15.539,15.081,15.386,15.539,15.386,15.081,15.692,15.539,15.386,15.692,15.081,15.844,15.539,15.844,15.539,15.539,15.844,14.928,15.692,15.539,15.539,15.539,15.386,15.234,15.539,14.928,15.234,15.386,15.844,15.234,15.692,15.234,15.539,15.386,15.692,15.234,15.539,15.386,15.234,15.386,15.386,15.386,15.081,15.386,15.234,15.692,15.539,15.692,15.386,15.081,
429,58,58,119,76,-511.33,-514.209,-513.703,-514.451,-517.255,-517.757,-464.811,-453.292,-504.443,15.351,15.503,15.351,15.503,15.198,15.351,15.656,15.503,15.656,15.656,14.739,14.586,14.586,14.433,13.974,13.821,13.668,13.668,13.974,13.821,13.668,13.821,13.821,13.821,13.974,13.821,13.974,13.821,14.127,13.821,13.821,13.974,13.668,13.974,13.668,13.821,13.668,13.821,13.668,13.821,13.515,13.668,13.821,13.974,13.668,13.821,13.668,13.974,13.668,13.974,13.668,13.821,13.821,13.821,13.668,13.821,13.821,13.668,13.668,13.821,13.821,13.668,13.974,13.668,13.515,
430,58,58,118,76,-511.284,-513.982,-513.796,-514.602,-514.88,-516.366,-464.749,-453.132,-502.342,19.56,19.56,19.101,19.101,18.948,19.101,19.407,19.101,19.254,19.407,16.807,16.501,16.501,16.042,14.207,14.054,13.748,13.748,13.901,13.901,13.442,14.054,13.901,13.748,14.054,13.901,13.901,14.054,14.054,13.901,13.901,14.054,13.595,13.901,13.901,13.901,14.054,13.901,13.748,13.748,13.442,13.595,13.748,14.054,13.748,14.054,13.748,13.901,13.748,13.901,13.748,13.901,13.748,13.748,13.901,13.748,13.748,13.595,13.748,13.748,14.054,13.748,13.901,13.748,13.748,
431,58,58,117,76,-511.311,-514.218,-513.939,-514.522,-516.991,-517.882,-465.044,-452.872,-503.967,14.549,14.703,14.243,14.549,14.396,14.243,14.549,14.549,14.549,14.856,13.937,13.937,13.631,13.478,12.866,13.325,12.713,12.866,13.172,12.866,12.56,13.325,13.019,13.019,13.172,12.713,13.172,13.172,13.325,13.019,13.019,13.325,12.713,13.172,12.866,12.866,13.019,13.019,12.713,13.019,12.56,12.866,13.019,13.172,12.866,13.325,12.713,13.019,13.019,13.172,12.713,12.866,12.866,12.56,12.713,12.713,12.713,12.56,12.866,12.56,13.019,12.713,13.019,13.019,12.713,
432,58,58,132,77,-513.842,-516.964,-516.992,-517.734,-516.303,-518.45,-468.496,-456.782,-506.106,17.417,17.111,17.57,17.264,17.417,17.875,17.111,17.111,17.417,17.57,17.111,16.805,17.264,16.958,17.417,17.111,17.111,17.417,17.111,16.653,17.417,16.805,16.958,16.805,17.264,16.805,16.653,16.805,16.958,16.805,17.264,16.958,16.958,17.111,17.264,16.805,17.417,17.264,16.958,17.417,17.111,16.805,16.805,17.264,17.264,16.958,16.805,16.958,16.958,16.958,16.805,16.958,17.264,17.111,17.264,16.805,17.111,16.805,17.111,16.958,17.264,16.958,16.805,17.417,17.264,
433,58,58,131,77,-516.732,-519.227,-520.043,-519.4,-522.203,-521.554,-471.649,-460.243,-507.781,21.593,21.287,21.44,21.287,20.981,21.287,20.676,20.676,21.134,20.981,20.828,20.676,21.134,21.134,21.287,20.981,20.828,20.981,20.981,20.676,21.134,20.523,20.828,20.676,21.287,20.676,20.523,20.828,20.828,20.676,20.981,20.828,20.828,20.828,20.981,20.676,21.134,20.981,20.981,21.134,20.981,20.676,20.676,20.981,20.981,20.981,20.828,20.981,20.676,20.828,20.828,20.981,20.981,20.828,20.981,20.828,20.981,20.981,20.981,20.981,20.981,20.828,20.828,20.981,21.134,
434,58,58,130,77,-514.701,-517.458,-517.645,-518.323,-518.341,-519.222,-470.377,-459.071,-507.039,19.165,19.012,19.318,19.318,19.165,19.471,19.165,19.012,19.318,19.318,19.165,19.012,19.165,19.165,19.318,19.165,19.012,19.012,19.165,18.706,19.165,18.859,19.012,18.859,19.012,18.706,18.706,18.706,18.859,18.706,19.012,18.859,18.859,18.859,18.859,18.706,19.012,18.859,18.859,19.165,19.012,18.706,18.859,19.012,19.012,18.859,19.012,18.706,18.859,18.859,18.706,18.859,19.012,18.859,19.012,18.706,18.859,18.859,19.012,18.859,18.859,18.706,18.706,18.859,19.012,
435,58,58,129,77,-514.048,-517.337,-517.524,-517.882,-519.463,-518.033,-469.38,-458.23,-506.576,18.063,17.756,18.216,17.756,17.756,18.369,17.603,17.756,18.063,18.063,17.603,17.603,17.909,17.756,18.063,17.756,17.603,17.909,17.909,17.603,18.063,17.603,17.909,17.45,18.063,17.603,17.45,17.603,17.756,17.45,17.756,17.603,17.603,17.909,17.909,17.45,18.063,18.063,17.603,18.063,17.756,17.45,17.603,17.909,17.756,17.756,17.756,17.45,17.603,17.756,17.603,17.45,17.756,17.756,17.909,17.603,17.756,17.603,17.909,17.756,17.909,17.756,17.45,17.909,17.909,
436,58,58,128,77,-515.73,-517.936,-518.056,-519.351,-521.064,-521.038,-468.521,-457.463,-507.413,20.783,21.242,20.783,20.936,20.783,20.477,20.936,20.477,20.783,20.63,20.936,20.936,20.63,21.089,20.477,20.783,20.783,20.477,20.477,20.63,20.477,20.63,20.63,20.936,20.477,20.477,20.783,20.936,20.936,20.936,20.783,20.783,20.63,20.477,20.63,20.936,20.477,20.477,20.783,20.477,20.477,20.936,20.936,20.783,20.783,20.63,20.63,20.783,20.783,21.089,20.63,20.936,20.477,20.324,20.324,20.936,20.63,20.783,20.477,20.783,20.477,20.783,20.936,20.477,20.477,
437,58,58,127,77,-516.574,-519.422,-519.5,-519.339,-522.14,-521.303,-471.759,-459.982,-509.033,20.272,20.272,20.425,20.272,20.12,20.272,20.272,20.272,20.12,20.12,19.509,19.814,19.814,19.814,19.662,19.662,19.509,19.509,19.509,19.356,19.509,19.356,19.356,19.356,19.509,19.204,19.356,19.356,19.662,19.356,19.356,19.356,19.204,19.204,19.356,19.356,19.509,19.204,19.356,19.204,19.356,19.356,19.356,19.509,19.509,19.356,19.204,19.356,19.356,19.356,19.204,19.356,19.356,19.051,19.204,19.356,19.051,19.356,19.051,19.356,19.204,19.051,19.204,19.356,19.509,
438,58,58,126,77,-512.48,-515.957,-515.695,-515.767,-517.567,-518.25,-468.957,-456.735,-503.805,14.493,14.799,14.34,14.34,14.34,14.34,14.34,14.187,14.799,14.187,14.646,14.799,13.882,14.493,14.187,14.187,14.187,13.882,13.882,14.34,14.187,14.34,14.34,14.493,13.882,14.187,14.34,14.493,14.187,14.34,14.035,14.035,14.187,14.187,14.035,14.493,14.035,14.187,14.187,14.187,14.187,14.34,14.34,14.34,14.187,14.187,14.187,14.035,14.34,14.187,14.187,14.34,14.035,14.035,14.035,14.34,14.187,14.035,14.34,14.187,14.187,14.34,14.187,14.035,14.34,
439,58,58,125,77,-512.178,-515.143,-514.496,-514.926,-517.665,-517.58,-467.351,-456.114,-502.33,13.669,14.281,13.516,13.516,13.669,13.516,13.669,13.669,13.669,13.516,13.669,13.822,13.21,13.669,13.363,13.516,13.516,13.21,13.363,13.975,13.21,13.669,13.669,13.822,13.21,13.363,13.822,13.822,13.363,13.822,13.363,13.363,13.363,13.669,13.21,13.975,13.21,13.516,13.516,13.363,13.516,13.516,13.822,13.363,13.363,13.516,13.516,13.516,13.516,13.516,13.822,13.516,13.363,13.363,13.363,13.669,13.363,13.516,13.363,13.669,13.363,13.822,13.516,13.363,13.516,
440,58,58,124,77,-513.143,-515.695,-516.036,-517.127,-518.061,-518.938,-468.852,-457.664,-505.242,17.727,18.033,17.727,17.88,17.727,17.88,17.574,17.727,17.574,17.421,17.727,17.727,17.727,18.033,17.727,18.033,18.033,17.727,17.727,18.033,18.033,18.339,18.186,17.88,18.492,18.339,18.339,18.033,18.339,18.492,18.339,18.645,18.186,18.186,18.645,18.339,18.645,18.186,18.186,18.645,18.645,18.186,18.186,18.492,18.798,18.798,18.339,18.645,18.186,18.339,18.492,18.645,18.492,18.492,18.645,18.339,18.492,18.492,18.951,18.645,18.339,18.492,18.951,18.645,18.645,
441,58,58,123,77,-513.922,-516.23,-516.27,-516.368,-518.147,-517.996,-465.672,-454.064,-504.429,14.829,14.676,14.829,14.523,14.523,14.676,14.523,14.523,14.676,14.676,14.523,14.676,14.676,14.676,14.37,14.37,14.217,14.37,14.37,14.37,14.37,14.523,14.37,14.37,14.523,14.37,14.37,14.37,14.37,14.217,14.37,14.217,14.37,14.37,14.217,14.37,14.523,14.37,14.37,14.523,14.37,14.523,14.217,14.217,14.523,14.523,14.37,14.523,14.37,14.217,14.523,14.523,14.37,14.37,14.217,14.217,14.523,14.523,14.523,14.37,14.523,14.523,14.523,14.37,14.217,
442,58,58,122,77,-513.276,-516.219,-516.129,-516.34,-515.806,-517.836,-469.114,-457.243,-505.948,15.767,15.92,15.309,15.614,15.462,15.767,15.462,15.462,15.309,15.003,15.309,14.85,14.544,15.309,15.003,15.309,15.156,14.85,14.85,15.003,14.85,15.003,15.003,14.697,15.309,15.156,15.003,14.85,15.156,15.309,15.156,14.697,14.85,14.544,15.003,14.544,15.003,14.85,14.392,14.85,15.156,14.544,14.697,14.85,14.697,15.003,14.697,15.156,14.697,14.544,14.697,15.156,15.003,14.85,15.003,14.85,14.392,15.003,14.697,15.003,14.544,14.85,15.003,15.156,15.156,
443,58,58,121,77,-512.764,-515.719,-515.904,-516.009,-518.704,-518.337,-468.769,-457.66,-503.955,14.985,15.596,14.985,15.29,15.29,15.29,15.137,15.29,14.832,14.832,14.985,14.679,14.526,14.832,14.526,14.832,14.832,14.374,14.221,14.374,14.526,14.526,14.679,14.221,14.832,14.526,14.526,14.221,14.679,14.832,14.679,14.526,14.374,14.221,14.832,14.221,14.526,14.068,13.915,14.526,14.679,14.068,14.068,14.374,14.374,14.374,14.221,14.679,14.221,14.221,14.221,14.526,14.526,14.221,14.526,14.221,14.068,14.374,14.374,14.526,14.068,14.374,14.526,14.526,14.526,
444,58,58,120,77,-523.106,-523.732,-527.971,-518.342,-523.414,-524.29,-475.281,-463.671,-511.116,16.948,16.795,16.795,16.948,16.489,16.642,16.335,16.489,16.182,16.795,15.263,15.263,15.876,15.11,14.957,14.803,14.344,14.803,14.497,14.65,14.65,14.65,14.65,14.803,14.803,14.344,14.803,14.344,14.957,14.497,14.65,14.803,14.957,14.803,14.803,14.957,14.65,14.803,14.497,15.11,14.344,14.957,14.65,14.497,14.344,14.803,15.11,14.344,14.497,14.497,14.65,14.497,14.65,14.957,14.344,14.957,14.803,14.497,14.191,14.65,14.803,14.497,15.263,14.497,14.803,
445,58,58,119,77,-526.871,-522.5,-523.06,-531.787,-500.906,-503.686,-463.942,-453.924,-499.278,23.263,22.65,22.343,22.343,21.73,21.883,21.73,21.883,21.577,22.037,12.225,11.918,11.765,11.151,3.179,2.719,2.719,3.179,2.566,2.872,2.872,2.872,2.872,2.872,2.872,2.566,3.026,2.566,3.026,2.566,3.026,3.026,2.872,2.719,3.026,3.026,2.872,3.026,2.872,3.179,2.566,3.179,2.872,2.719,2.719,3.179,3.179,2.566,2.566,2.872,3.026,2.719,2.872,3.026,2.872,3.179,2.872,2.719,2.566,2.872,3.026,2.872,3.179,2.719,3.026,
446,5,5,118,77,-502.763,-506.955,-513.972,-511.612,-520.525,-527.225,-469.003,-455.577,-507.636,4984,4984,4984,4985,4984,4984,4984,4984,4984,4984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,58,58,117,77,-516.42,-525.516,-521.976,-522.189,-524.067,-517.778,-461.597,-452.495,-497.459,14.735,14.429,13.97,14.123,13.665,13.665,13.818,13.818,13.359,14.123,7.55,7.244,7.703,6.938,3.27,2.964,2.658,2.964,2.658,2.811,2.964,2.964,2.811,3.117,3.117,2.505,3.117,2.352,3.117,2.658,2.964,3.117,2.964,2.811,2.964,3.117,2.811,2.964,2.811,3.422,2.505,3.27,2.811,2.505,2.505,3.117,3.422,2.505,2.658,2.811,2.964,2.658,2.964,3.27,2.658,3.117,2.811,2.811,2.505,3.117,2.964,2.811,3.117,2.658,2.964,
448,58,58,132,78,-515.355,-518.61,-518.194,-518.867,-520.037,-518.242,-468.63,-457.129,-509.051,22.818,23.123,22.818,23.123,22.97,22.97,22.512,22.665,22.665,22.97,22.665,22.818,22.665,22.818,22.512,22.818,22.665,22.665,22.97,22.665,22.512,22.359,22.512,22.512,22.97,23.123,22.359,22.512,22.512,22.359,22.512,22.665,22.665,22.512,22.665,22.818,22.97,22.665,22.359,22.97,22.665,22.512,22.818,22.665,22.97,22.512,22.818,22.818,22.359,22.818,22.512,22.97,22.665,22.359,22.359,22.359,22.512,22.818,22.359,22.97,22.665,22.206,22.818,22.512,22.512,
449,58,58,131,78,-515.29,-519.213,-518.1,-520.166,-521.295,-522.352,-470.605,-459.456,-507.046,25.243,25.243,25.243,25.243,25.243,25.243,25.09,24.937,24.937,25.09,24.937,24.937,24.937,24.937,24.784,24.937,24.784,24.784,25.09,24.784,24.631,24.784,24.631,24.784,24.937,25.09,24.631,24.631,24.784,24.631,24.784,24.784,24.784,24.937,24.784,25.09,24.937,24.784,24.784,24.937,24.937,24.784,25.09,24.784,25.09,24.784,25.09,24.937,24.784,24.784,24.631,24.937,24.784,24.784,24.631,24.631,24.784,24.937,24.784,24.937,24.784,24.631,24.784,24.784,24.784,
450,58,58,130,78,-516.687,-518.688,-518.174,-518.262,-517.63,-517.473,-471.089,-460.099,-509.165,20.187,20.187,20.646,20.799,20.646,20.646,20.34,20.187,20.187,20.493,20.187,20.493,20.34,20.187,20.187,20.34,20.034,20.187,20.34,20.034,19.881,19.727,20.187,20.187,20.34,20.493,19.881,20.034,20.187,19.881,20.187,20.187,20.034,20.034,20.034,20.187,20.34,20.187,19.881,20.34,20.034,20.034,20.187,20.187,20.34,19.881,20.187,20.187,20.187,20.187,20.034,20.34,20.034,19.881,19.881,19.727,20.034,20.187,19.727,20.187,20.34,19.881,20.187,20.187,20.187,
451,58,58,129,78,-512.913,-516.14,-516.373,-516.439,-516.98,-517.478,-468.865,-457.695,-506.244,15.84,16.146,15.84,16.452,15.84,16.299,15.687,15.687,15.687,15.993,15.687,15.687,15.84,15.84,15.534,15.84,15.687,15.84,15.84,15.534,15.381,15.381,15.687,15.687,15.993,16.146,15.381,15.687,15.687,15.687,15.534,15.687,15.534,15.687,15.687,15.84,15.993,15.534,15.381,15.84,15.381,15.534,15.993,15.687,15.84,15.381,15.84,15.84,15.381,15.84,15.534,15.84,15.687,15.534,15.381,15.228,15.687,15.84,15.381,15.84,15.84,15.228,15.687,15.687,15.534,
452,58,58,128,78,-513.493,-516.554,-517.143,-516.547,-517.664,-517.391,-468.584,-457.027,-506.647,17.822,17.669,16.905,17.058,17.211,17.211,17.822,17.211,17.363,17.363,17.211,17.058,16.905,17.211,17.211,16.752,17.516,17.058,17.211,17.363,17.516,16.905,17.058,17.211,17.363,17.363,17.058,17.211,17.363,17.363,17.211,17.669,17.669,17.211,16.905,17.058,17.211,17.058,17.058,17.669,17.669,17.211,17.211,17.516,17.363,17.516,17.058,17.363,17.211,17.058,17.363,17.058,17.363,17.211,17.058,17.058,17.363,17.211,17.211,17.211,17.363,17.363,17.363,16.752,17.363,
453,58,58,127,78,-514.897,-517.508,-518.362,-518.34,-518.642,-519.795,-470.593,-458.621,-509.214,20.548,20.548,20.089,20.089,20.242,20.089,20.395,20.089,20.089,19.936,19.63,19.324,19.324,19.63,19.783,19.324,19.783,19.477,19.783,19.783,19.936,19.324,19.63,19.936,19.783,19.477,19.936,19.63,19.63,19.783,19.477,19.783,20.089,19.324,19.324,19.172,19.783,19.172,19.172,19.783,19.783,19.63,19.324,19.63,19.63,19.63,19.324,19.63,19.63,19.324,19.783,19.63,19.63,19.477,19.63,19.477,19.477,19.63,19.477,19.63,19.783,19.63,19.936,19.019,19.324,
454,58,58,126,78,-515.362,-518.388,-517.755,-518.838,-518.954,-518.93,-470.76,-459.156,-507.782,22.998,22.846,22.693,22.54,22.387,22.846,22.693,22.846,22.693,22.234,22.234,21.928,22.081,22.081,21.928,21.928,22.081,21.928,21.928,21.928,21.928,21.928,21.928,22.081,21.928,21.775,21.775,22.081,21.928,21.928,21.775,21.775,21.775,21.928,21.928,21.928,21.622,21.775,21.928,21.622,21.622,21.775,21.622,21.775,21.928,21.775,21.775,21.775,21.622,21.775,21.622,21.775,21.775,21.928,21.928,21.622,21.928,21.469,21.622,21.775,21.622,21.775,21.622,21.775,21.928,
455,58,58,125,78,-512.213,-516.242,-515.842,-516.521,-516.87,-517.101,-468.897,-456.926,-505.45,15.692,15.997,15.539,15.539,15.387,15.692,15.844,15.539,15.844,15.387,15.692,15.234,15.387,15.844,15.234,15.234,15.844,15.387,15.844,15.844,15.692,15.234,15.234,15.692,15.539,15.844,15.387,15.539,15.539,15.844,15.387,15.387,15.844,15.387,15.234,15.234,15.387,15.387,15.234,15.539,15.692,15.692,15.234,15.844,15.539,15.692,15.234,15.692,15.234,15.234,15.692,15.387,15.692,15.234,15.234,15.387,15.844,15.387,15.539,15.844,15.692,15.692,15.539,15.234,15.844,
456,58,58,124,78,-511.1,-513.612,-522.453,-523.596,-530.746,-522.471,-465.173,-450.041,-503.636,16.328,16.021,15.868,16.481,16.174,16.021,16.174,15.715,16.021,15.868,15.715,15.408,15.715,15.715,15.715,16.174,15.562,15.868,15.715,15.408,15.408,16.174,15.715,15.715,15.562,15.868,15.868,15.408,15.562,15.102,15.408,15.255,15.562,15.868,15.562,15.408,16.021,15.408,15.408,15.868,15.408,15.408,15.255,15.562,15.868,15.562,15.715,15.868,15.408,15.562,15.408,15.868,15.868,15.408,15.408,15.408,15.715,15.562,15.562,15.408,15.715,15.715,15.408,15.408,15.408,
457,58,58,123,78,-520.273,-528.824,-526.156,-521.903,-516.148,-514.483,-472.793,-459.987,-508.855,17.192,16.733,16.733,16.886,16.426,16.426,16.273,15.967,16.12,15.814,15.661,15.661,15.201,15.201,15.048,15.354,14.742,15.048,14.742,14.589,14.589,15.048,14.895,15.048,14.589,15.201,14.589,14.435,14.742,14.435,14.435,14.589,14.742,14.742,14.895,14.435,14.895,14.435,14.435,14.589,14.282,14.589,14.435,14.589,14.895,14.589,14.742,14.742,14.435,14.589,14.589,14.895,14.742,14.435,14.282,14.282,14.589,14.589,14.589,14.589,14.742,14.742,14.742,14.589,14.435,
458,58,58,122,78,-516.842,-515.61,-517.146,-517.15,-521.053,-514.825,-470.416,-453.151,-507.771,13.021,13.021,13.174,12.868,12.715,12.868,12.868,13.021,13.021,12.715,12.868,12.868,12.868,12.868,12.868,12.868,12.868,12.868,12.868,12.715,12.868,12.715,12.868,12.715,12.868,12.868,12.868,12.868,12.868,12.715,12.868,13.021,13.021,12.715,12.868,12.715,12.868,12.868,12.715,12.715,13.021,13.021,12.715,13.021,12.715,12.715,12.868,12.715,12.868,12.715,12.868,12.715,12.715,13.021,12.868,12.868,12.715,12.868,12.868,12.715,12.715,12.715,12.715,12.868,12.715,
459,58,58,121,78,-517.596,-521.548,-518.496,-515.796,-521.538,-514.851,-471.735,-459.275,-505.224,15.319,15.319,15.166,15.472,15.319,15.319,15.319,14.861,15.166,14.708,15.013,14.555,14.708,14.555,14.861,15.013,14.402,14.861,14.861,14.402,14.555,15.013,14.861,14.861,14.402,15.013,14.861,14.402,14.708,14.249,14.402,14.708,14.861,14.708,14.708,14.402,15.013,14.402,14.249,14.861,14.708,14.861,14.402,14.861,14.861,14.402,14.861,15.013,14.708,14.402,14.402,14.861,14.861,14.708,14.402,14.708,14.708,14.861,14.708,14.402,14.861,14.861,14.708,14.861,14.249,
460,58,58,120,78,-512.908,-515.894,-515.262,-515.22,-514.641,-514.499,-467.447,-456.034,-502.451,15.539,15.539,15.692,15.844,15.844,15.539,15.386,16.15,15.539,15.692,15.539,15.844,15.692,15.386,15.844,15.692,15.234,15.692,15.234,15.539,15.386,15.844,15.539,15.692,15.386,15.234,15.692,15.692,15.692,15.386,15.539,15.386,15.234,15.844,15.844,15.692,15.692,15.386,15.692,15.386,15.234,15.386,15.844,15.234,15.539,15.234,15.844,15.386,15.692,15.692,15.386,15.539,15.234,15.844,15.997,15.844,15.539,15.692,15.539,15.386,15.386,15.234,15.692,15.692,15.386,
461,58,58,119,78,-511.942,-514.056,-514.009,-514.604,-514.963,-515.924,-465.882,-454.822,-502.148,13.668,13.821,13.974,13.821,13.821,13.668,13.668,13.821,13.668,13.668,13.668,13.821,13.668,13.515,13.668,13.821,13.515,13.821,13.515,13.515,13.668,13.974,13.668,13.668,13.668,13.515,13.668,13.821,13.668,13.515,13.668,13.821,13.668,13.668,13.821,13.821,13.668,13.515,13.821,13.515,13.362,13.362,13.974,13.515,13.668,13.362,13.821,13.668,13.821,13.821,13.515,13.668,13.515,13.821,13.974,13.668,13.668,13.668,13.668,13.668,13.515,13.668,13.821,13.821,13.362,
462,58,58,118,78,-511.131,-514.135,-513.949,-514.296,-515.033,-514.07,-465.818,-454.049,-501.425,13.136,13.136,13.595,13.442,13.442,13.289,12.983,13.595,13.442,13.289,13.289,13.442,13.442,13.136,13.289,13.289,13.136,13.289,13.136,13.289,13.136,13.595,13.289,13.442,12.983,13.136,13.442,13.442,13.289,13.136,13.442,12.983,12.983,13.442,13.595,13.442,13.289,12.983,13.442,13.136,12.983,13.136,13.442,12.983,13.289,13.136,13.442,13.136,13.442,13.442,13.136,13.136,13.136,13.442,13.442,13.442,13.136,13.289,13.136,13.136,13.136,13.136,13.289,13.442,13.136,
463,58,58,117,78,-511.005,-514.065,-514.093,-514.675,-515.307,-515.738,-466.116,-454.864,-502.741,12.713,12.407,13.019,13.019,13.019,12.866,12.407,13.019,13.019,12.866,12.713,13.019,13.019,12.56,13.019,13.019,12.407,12.713,12.56,12.56,12.407,13.019,12.866,12.56,12.407,12.713,12.713,13.019,12.713,12.56,12.713,12.56,12.56,12.866,13.019,13.019,12.713,12.56,13.019,12.407,12.254,12.407,12.866,12.407,12.56,12.254,13.019,12.407,12.866,13.019,12.56,12.713,12.407,13.019,13.019,12.866,12.713,12.866,12.713,12.713,12.56,12.407,12.713,12.866,12.56,
464,58,58,132,79,-512.926,-515.742,-516.839,-516.358,-513.701,-515.389,-466.968,-454.947,-505.341,16.5,16.958,16.653,16.958,16.958,16.805,17.111,17.111,17.264,16.805,16.805,16.653,16.958,16.958,17.264,16.958,17.417,17.111,17.264,16.5,17.264,16.958,17.111,16.653,16.805,16.5,16.805,16.958,16.805,17.111,16.958,16.5,16.805,17.111,16.958,16.653,17.111,16.958,17.264,16.805,17.111,16.653,16.805,16.653,16.653,16.958,16.805,16.5,17.264,17.111,17.264,17.264,16.653,16.958,16.805,17.111,16.958,16.653,17.111,16.805,17.111,16.653,16.958,16.958,17.111,
465,58,58,131,79,-515.355,-516.934,-517.597,-517.566,-519.913,-520.027,-466.596,-455.036,-505.791,16.854,17.007,17.007,17.007,16.549,16.854,17.007,16.854,17.16,16.854,17.007,16.854,17.313,17.007,17.466,17.16,17.313,17.313,17.619,16.854,17.313,17.16,17.466,17.16,17.16,17.007,17.007,17.466,17.007,17.313,17.007,17.007,17.007,17.466,17.313,17.007,17.466,17.16,17.313,17.16,17.466,17.16,17.007,17.007,17.16,17.466,17.16,17.007,17.466,17.466,17.466,17.313,17.16,17.16,17.007,17.313,17.16,17.16,17.313,17.16,17.313,17.007,17.466,17.16,17.466,
466,58,58,130,79,-516.991,-519.596,-520.094,-520.466,-522.623,-522.893,-470.223,-458.765,-510.413,23.91,24.217,24.217,24.064,23.91,24.217,24.37,24.217,24.217,24.064,24.676,24.676,24.523,24.676,24.829,24.676,24.829,24.829,24.982,24.37,24.829,24.523,24.829,24.676,24.676,24.37,24.676,24.982,24.523,24.829,24.523,24.523,24.676,24.982,24.829,24.676,24.982,24.676,24.829,24.523,24.982,24.676,24.523,24.523,24.676,24.829,24.523,24.676,24.829,24.829,24.829,24.829,24.523,24.676,24.676,24.523,24.676,24.676,24.676,24.523,24.676,24.676,24.829,24.676,24.676,
467,58,58,129,79,-515.728,-518.864,-519.056,-518.954,-520.686,-521.244,-468.92,-457.312,-508.872,20.054,20.361,20.054,20.208,19.901,20.054,20.208,20.054,20.208,19.901,19.748,19.595,19.748,19.901,20.054,19.748,20.054,19.901,20.208,19.442,19.901,19.748,19.901,19.595,19.595,19.442,19.595,20.054,19.442,19.901,19.442,19.442,19.595,19.901,19.748,19.595,20.054,19.595,20.054,19.595,20.054,19.595,19.595,19.442,19.442,19.901,19.595,19.442,19.901,19.748,19.901,19.595,19.288,19.595,19.442,19.595,19.595,19.288,19.901,19.442,19.748,19.288,19.901,19.442,19.595,
468,58,58,128,79,-515.577,-519.312,-519.279,-520.115,-521.522,-522.567,-469.746,-459.3,-509.557,20.783,21.089,20.936,21.089,20.477,20.63,20.171,20.477,19.866,20.324,20.324,20.324,20.324,19.866,19.713,20.019,19.56,19.713,19.56,20.019,19.56,19.713,19.713,20.019,20.019,19.866,19.866,19.713,20.171,19.56,19.56,20.019,20.019,19.56,19.56,19.866,19.713,20.019,19.56,20.171,19.56,20.019,20.171,20.019,20.171,19.713,20.171,20.019,19.713,19.713,19.713,19.866,20.019,20.171,20.171,20.171,20.171,20.324,19.56,20.019,19.866,20.171,19.866,20.171,19.713,
469,58,58,127,79,-515.348,-518.043,-518.584,-518.423,-520.154,-519.928,-470.231,-458.76,-507.811,18.135,18.288,17.982,18.44,18.135,18.288,18.135,18.288,18.135,18.135,18.288,17.982,18.288,18.135,17.982,18.135,17.982,17.982,18.135,17.829,17.982,17.982,17.829,17.982,18.135,17.829,17.829,17.982,17.829,17.829,18.135,17.829,17.829,17.829,17.982,17.829,17.829,17.982,17.982,17.829,17.982,17.982,17.829,17.829,17.982,17.982,17.829,17.829,17.982,18.135,17.982,18.288,17.982,17.982,17.829,18.135,17.982,18.135,17.982,17.982,18.135,17.829,17.982,18.135,17.982,
